Episode,Avg_Waiting_Time,Avg_Queue_Length,Throughput,Total_Violations,Phase_Violations,Duration_Violations,Actual_Violations
261,242.19,71.53,5.8194,640,640,0,0
262,269.75,57.07,13.9556,615,615,0,0
263,157.28,52.27,16.0323,268,268,0,0
264,278.85,70.67,2.7306,1485,1485,0,0
265,228.03,59.13,14.3778,105,105,0,0
266,342.68,61.33,13.2194,290,290,0,0
267,313.42,51.6,12.3972,1095,1095,0,0
268,214.93,68.27,9.9583,685,685,0,0
269,162.13,71.93,2.1411,191,191,0,0
270,243.45,42.93,27.3778,50,50,0,0
271,245.33,71.0,7.8861,325,325,0,0
272,316.42,59.87,13.6972,110,110,0,0
273,284.38,77.47,1.3389,905,905,0,0
274,256.81,54.93,14.525,470,470,0,0
275,166.27,70.2,7.4718,409,409,0,0
276,309.01,43.73,26.2556,100,100,0,0
277,302.98,68.6,4.9667,1140,1140,0,0
278,319.61,42.2,26.3056,215,215,0,0
279,311.7,56.13,12.125,1130,1130,0,0
280,271.32,41.8,27.0222,355,355,0,0
281,194.19,56.13,18.0887,456,456,0,0
282,345.62,43.73,26.2556,35,35,0,0
283,222.34,68.87,10.6667,420,420,0,0
284,229.84,56.73,15.1306,485,485,0,0
285,329.18,58.73,13.4028,510,510,0,0
286,294.34,58.27,18.8556,200,200,0,0
287,161.65,57.6,14.375,293,293,0,0
288,256.99,54.93,13.7306,630,630,0,0
289,306.62,37.93,26.4278,510,510,0,0
290,328.63,57.07,13.3806,735,735,0,0
291,240.15,41.6,26.7722,195,195,0,0
292,321.46,70.07,0.4944,1120,1120,0,0
293,223.58,41.6,26.0726,494,494,0,0
294,191.91,54.93,14.9722,465,465,0,0
295,335.1,57.07,13.25,525,525,0,0
296,194.8,55.4,12.1694,925,925,0,0
297,232.36,54.93,15.025,500,500,0,0
298,208.47,52.6,15.7639,380,380,0,0
299,171.28,54.27,14.5282,328,328,0,0
300,237.3,71.93,1.3889,770,770,0,0
301,219.77,57.07,15.2639,450,450,0,0
302,334.07,41.6,26.2611,505,505,0,0
303,201.41,57.0,14.875,475,475,0,0
304,237.29,51.47,20.9361,580,580,0,0
305,223.49,42.2,26.1532,243,243,0,0
306,197.71,52.07,16.55,700,700,0,0
307,339.59,57.67,13.2167,410,410,0,0
308,302.79,70.4,0.8361,800,800,0,0
309,332.49,55.53,13.2167,875,875,0,0
310,332.15,55.53,13.2167,485,485,0,0
311,225.12,52.8,13.5484,504,504,0,0
312,315.46,59.2,13.3639,35,35,0,0
313,327.16,42.2,26.3056,0,0,0,0
314,334.35,42.27,26.2778,370,370,0,0
315,328.88,39.4,26.2611,400,400,0,0
316,190.29,38.67,27.8472,60,60,0,0
317,218.85,42.2,26.0645,261,261,0,0
318,327.87,54.93,13.2222,425,425,0,0
319,326.85,43.07,26.2556,135,135,0,0
320,338.38,41.6,26.2556,420,420,0,0
321,327.38,43.73,26.2556,175,175,0,0
322,284.69,57.27,13.7722,785,785,0,0
323,225.98,39.27,26.2016,286,286,0,0
324,165.42,40.4,24.2861,185,185,0,0
325,327.3,55.53,13.2167,765,765,0,0
326,252.06,69.93,12.45,380,380,0,0
327,224.21,76.13,4.9944,795,795,0,0
328,335.48,55.53,13.2167,750,750,0,0
329,157.24,54.27,13.5806,50,50,0,0
330,321.09,42.2,26.3167,425,425,0,0
331,311.31,40.07,26.2556,455,455,0,0
332,125.77,73.47,10.6889,520,520,0,0
333,318.05,42.2,26.2556,360,360,0,0
334,284.75,41.8,26.8278,435,435,0,0
335,208.35,43.73,26.0685,5,5,0,0
336,314.58,43.73,26.2556,35,35,0,0
337,244.5,42.8,27.5472,240,240,0,0
338,214.24,71.67,4.7444,955,955,0,0
339,324.2,41.13,26.2556,510,510,0,0
340,320.54,42.2,26.2556,435,435,0,0
341,213.85,40.07,26.2258,331,331,0,0
342,327.54,40.07,26.2556,435,435,0,0
343,255.43,76.27,8.1139,190,190,0,0
344,256.99,61.2,13.3167,405,405,0,0
345,209.83,59.2,23.4889,275,275,0,0
346,299.0,75.93,0.5583,1425,1425,0,0
347,129.67,67.4,14.246,298,298,0,0
348,254.7,61.33,14.8167,185,185,0,0
349,323.95,42.2,26.3056,30,30,0,0
350,238.85,59.2,14.5222,135,135,0,0
351,311.54,42.2,26.2556,545,545,0,0
352,329.84,40.93,26.2556,35,35,0,0
353,141.7,68.0,11.6008,428,428,0,0
354,240.22,57.67,23.6306,635,635,0,0
355,332.42,57.73,13.2167,390,390,0,0
